ISSN, OBJECT ID, SIRSI DATE, SFX DATE
0165-5752, 954925481618, [1979-], [1979-]
0165-7380, 954925481622, [Record not found in Sirsi], [1977-]
0166-8595, 954925482637, [1980-], [1980-]
0167-4366, 954925482642, [1982-], [1982-]
0167-4412, 954925482643, [1981-], [1981-]
0167-5249, 954925482650, [1982-], [1982-]
0167-5923, 954925483656, [1982-], [1982-]
0167-594X, 954925483657, [1983-], [1983-]
0167-6369, 954925483660, [1981-], [1981-]
0167-6806, 954925483665, [1981-], [1981-]
0167-6857, 954925483666, [1981-], [1981-]
0167-6903, 954925483667, [1982-], [1982-]
0167-6997, 954925483669, [1983-], [1983-]
0167-7411, 954925483675, [1982-], [1982-]
0167-7659, 954925483676, [Record not found in Sirsi], [1982-]
0167-7764, 954925483677, [1983-], [1983-]
0167-8019, 954925483679, [1983-], [1983-]
0167-806X, 954925483680, [1983-], [1983-]
0167-9295, 954925484689, [Record not found in Sirsi], [1969-]
0167-9848, 954925484692, [1984-], [1984-]
0167-9899, 954925484693, [1985-2000], [1985-2000]
0168-2563, 954925484702, [1984-], [1984-]
0168-6577, 954925484708, [1985-], [1985-]
0168-8162, 954925484709, [1985-], [1985-]
0169-3298, 954925485726, [Record not found in Sirsi], [1972-]
0169-3867, 954925485727, [1986-], [1986-]
0169-3913, 954925485728, [1986-], [1986-]
0169-4197, 954925485730, [1997-2001], [1997-2001]
0169-4286, 954925485732, [1986-], [1986-]
0169-6149, 954925486739, [Record not found in Sirsi], [1968-]
0170-0839, 954925486744, [1978-], [1978-]
0171-5216, 954925486749, [Record not found in Sirsi], [1903-]
0171-967X, 954925486756, [1979-], [1979-]
0172-0643, 954925486757, [v.1(1980)-], [1979-]
0172-8083, 954925486761, [1979-], [1979-]
0172-8113, 954925486762, [1994-], [1994-]
0172-8172, 954925486763, [1981-], [1981-]
0172-9179, 954925486764, [], [1979-]
0174-1551, 954925487769, [1980-], [1980-]
0174-1578, 954925487770, [Record not found in Sirsi], [1974-]
0174-3597, 954925487772, [1980-1998], [1980-1998]
0175-7571, 954925487773, [Record not found in Sirsi], [1984-]
0175-7598, 954925487774, [Record not found in Sirsi], [1975-]
0176-1714, 954925487777, [1984-], [1984-]
0176-4268, 954925487779, [1984-], [1984-]
0176-4276, 954925487780, [1985-], [1985-]
0177-0667, 954925487781, [1985-], [1985-]
0177-5537, 954925487785, [1996-], [1996-]
0177-7963, 954925487787, [1986-], [1986-]
0177-7971, 954925487788, [1986-], [1986-]
0177-798X, 954925487789, [Record not found in Sirsi], [1948-]
0178-2762, 954925487790, [1985-], [1985-]
0178-2770, 954925487791, [1986-], [1986-]
0178-2789, 954925487792, [1985-], [1985-]
0178-4617, 954925487793, [1986-], [1986-]
0178-515X, 954925487794, [1986-2000], [1986-2000]
0178-7667, 954925488795, [1997-], [1997-]
0178-7675, 954925488796, [1986-], [1986-]
0178-8051, 954925488797, [2003-], [2003-]
0179-0358, 954925488798, [1986-], [1986-]
0179-051X, 954925488799, [1986-], [1986-]
0179-1958, 954925488801, [1986-], [1986-]
0179-5376, 954925488802, [1986-], [1986-]
0179-7158, 954925488803, [1997-], [1997-]
0190-9320, 954925489825, [1979-], [1979-]
0191-5665, 954925489832, [Record not found in Sirsi], [1965-]
0191-5886, 954925489833, [Record not found in Sirsi], [1976-]
0195-9271, 954925491879, [1980-2008], [1980-2008]
0195-928X, 954925491880, [1980-], [1980-]
0195-9298, 954925491881, [1980-], [1980-]
0199-0039, 954925492913, [Record not found in Sirsi], [1978-]
0209-9683, 954925492922, [1981-], [1981-]
0236-5731, 954925494970, [Record not found in Sirsi], [1968-]
0250-4707, 954925494985, [1979-], [1979-]
0250-541X, 954925494987, [2012-], [2012-]
0250-5991, 954925494988, [1979-], [1978-]
0250-6335, 954925494989, [1980-], [1980-]
0253-1453, 954925495000, [1981-2005, 2005-2010], [1981-2005, 2005-2010]
0253-4126, 954925495005, [1980-1996], [1980-1996]
0253-4134, 954925495006, [1980-2003], [1980-2003]
0253-4827, 954925495008, [1980-], [1980-]
0253-6269, 954925495014, [1978-], [1978-]
0254-5330, 954925496023, [1984-], [1984-]
0256-1115, 954925496030, [1984-], [1984-]
0256-1530, 954925496032, [1984-], [1984-]
0256-2499, 954925496033, [1998-], [1978-]
0256-2928, 954925496034, [1997-], [1997-]
0256-7040, 954925496038, [1985-], [1985-]
0256-7679, 954925496039, [2000-], [2000-]
0257-0130, 954925496040, [1986-], [1986-]
0257-277X, 954925496042, [Record not found in Sirsi], [1982-]
0258-8900, 954925497049, [Record not found in Sirsi], [1924-]
0259-9791, 954925497050, [1987-], [1987-]
0261-8028, 954925497064, [v.1(1982)-v.22(2003)], []
0262-0898, 954925497066, [1983-], [1983-]
0267-4874, 954925500132, [1985-1999], [1985-1999]
0268-3768, 954925501153, [1985-], [1985-]
0268-8921, 954925501156, [1986-], [1986-]
0269-2821, 954925501164, [1986-], [1986-]
0269-4042, 954925501167, [Record not found in Sirsi], [1979-]
0269-7653, 954925501171, [1987-], [1987-]
0271-9142, 954925503206, [1981-], [1981-]
0272-4324, 954925503216, [1981-], [1981-]
0272-4340, 954925503218, [1981-], [1981-]
0273-2289, 954925504238, [v.6(1981)-], [1976-]
0276-0460, 954925504252, [1981-], [1981-]
0277-5212, 954925505270, [1981-], [1981-]
0277-8033, 954925505275, [1982-2003], [1982-2003]
0278-081X, 954925506287, [1982-], [1982-]
0282-0080, 954925507311, [1984-], [1984-]
0288-3635, 954925507319, [1983-], [1983-]
0289-0771, 954925507321, [1983-], [1983-]
0300-3604, 954925507333, [1997-], [1997-]
0300-4864, 954925507336, [1972-1996], [1972-1996]
0300-5623, 954925508342, [1973-], [1973-]
0300-5860, 954925508345, [1997-2005], [1997-2005]
0300-8126, 954925508349, [1973-], [1973-]
0300-8177, 954925508350, [1973-], [1973-]
0300-8428, 954925508352, [1973-], [1973-]
0300-8584, 954925508353, [Record not found in Sirsi], [1886-]
0300-9009, 954925508358, [2012-], [2012-]
0300-9130, 954925508360, [Record not found in Sirsi], [1904-2001]
0300-9564, 954925508364, [1972-1989, 1989-], [1972-1989, 1989-]
0301-0449, 954925509376, [1973-], [1973-]
0301-4851, 954925510393, [1973-], [1973-]
0301-486X, 954925510394, [Record not found in Sirsi], [1938-]
0301-5548, 954925510395, [v.32(1973)-v.80(1999)], [1928-1999]
0301-5564, 954925510396, [1974-1994], [1974-1994]
0301-634X, 954925510402, [Record not found in Sirsi], [1963-]
0302-766X, 954925510416, [1974-], [1974-]
0302-8933, 954925510417, [1974-], [1974-]
0303-402X, 954925511420, [Record not found in Sirsi], [1906-]
0303-6812, 954925511424, [1974-], [1974-]
0303-8300, 954925511431, [1974-], [1974-]
0303-8408, 954925511432, [Record not found in Sirsi], [1956-2006]
0304-2421, 954925511436, [1974-], [1974-]
0304-3487, 954925511439, [1974-], [1974-]
0304-3843, 954925511444, [1975-], [1975-]
0304-4289, 954925512462, [1973-], [1973-]
0304-8608, 954925512463, [1975-], [1975-]
0306-8919, 954925515510, [Record not found in Sirsi], [1969-]
0324-4652, 954925517577, [1973-], [1973-]
0334-2123, 954925518589, [1973-], [1973-]
0334-5114, 954925518592, [2009-], [2009-]
0340-0131, 954925518600, [1975-], [1975-]
0340-0727, 954925518603, [1974-], [1974-]
0340-1200, 954925518604, [Record not found in Sirsi], [1961-]
0340-1855, 954925518606, [1997-], [1997-]
0340-2061, 954925518607, [Record not found in Sirsi], [1891-2006]
0340-2592, 954925518609, [1996-], [1996-]
0340-3696, 954925518611, [1975-1996, 1996-], [1975-1996, 1996-]
0340-4285, 954925518612, [1975-], [1975-]
0340-5354, 954925518616, [1974-1996, 1996-], [1974-1996, 1996-]
0340-5443, 954925518617, [1976-], [1976-]
0340-5761, 954925519619, [Record not found in Sirsi], [1930-]
0340-6199, 954925519621, [1975-], [1975-]
0340-6717, 954925519623, [1976-], [1976-]
0340-6997, 954925519624, [1996-2001], [1996-2001]
0340-7004, 954925519625, [1976-], [1976-]
0340-7594, 954925519626, [Record not found in Sirsi], [1924-]
0340-9937, 954925519629, [1997-], [1997-]
0341-2040, 954925519631, [Record not found in Sirsi], [1903-]
0341-2695, 954925519632, [1977-], [1977-]
0342-1791, 954925519637, [1977-], [1977-]
0342-4642, 954925520639, [Record not found in Sirsi], [1975-]
0342-7188, 954925520642, [1978-], [1978-]
0343-6993, 954925520644, [1978-], [1978-]
0343-8651, 954925520645, [1978-], [1978-]
0344-4325, 954925520647, [1978-2006], [1978-2006]
0344-5607, 954925520649, [1978-], [1978-]
0344-5704, 954925520650, [1978-], [1978-]
0360-3997, 954925521675, [1975-], [1975-]
0361-5235, 954925521690, [1972-], [1972-]
0361-8773, 954925522698, [1997-2003], [1997-2003]
0362-4021, 954925522711, [1977-2003], [1977-2003]
0364-152X, 954925523742, [1976-], [1976-]
0364-216X, 954925523743, [1976-], [1976-]
0364-2313, 954925523744, [1977-], [1977-]
0364-2348, 954925523745, [1976-], [1976-]
0364-3190, 954925523746, [1976-], [1976-]
